aggregated	self	category	text
97.28%	0.00%	1	b^m	in georgia
97.28%	0.00%	1	b	is he really
97.28%	0.00%	1	ba	god forbid
97.28%	0.00%	1	b^m	sherman texas oh
97.29%	0.00%	1	ba	oh that 's a neat idea
97.29%	0.00%	1	ba	it sounds nice
97.29%	0.00%	1	ba	oh man this is too scary
97.29%	0.00%	1	ba	oh that sounds fantastic
97.29%	0.00%	1	bf	you 've found something else
97.30%	0.00%	1	ba	i can see that
97.30%	0.00%	1	bf	to use you mean
97.30%	0.00%	1	ba	that 's gre well it 's wonderful in one respect
97.30%	0.00%	1	bf	you do it
97.31%	0.00%	1	br	hot
97.31%	0.00%	1	ba	well that sounds pretty good
97.31%	0.00%	1	ba	mumblex that 's true
97.31%	0.00%	1	ba	well that sounds fantastic
97.31%	0.00%	1	bf	would n't take it apart after that
97.32%	0.00%	1	ba	uh that sounds like a good that sounds like the right theory
97.32%	0.00%	1	bf	if people will pay two hundred then why charge ten
97.32%	0.00%	1	bf	bad knee
97.32%	0.00%	1	b	you think
97.32%	0.00%	1	ba	oh boy you do have a strange wiring problem there
97.33%	0.00%	1	b^m	beets
97.33%	0.00%	1	bk	okay oh
97.33%	0.00%	1	ba	well that 's really neat
97.33%	0.00%	1	b^m	a week
97.33%	0.00%	1	ba	i can bel
97.34%	0.00%	1	br	dr price
97.34%	0.00%	1	ba	well that 's a good experience i think
97.34%	0.00%	1	b^m	huh-uh
97.34%	0.00%	1	ba	oh that sounds mar-
97.35%	0.00%	1	bf	i- i- it 's the artist not the merit
97.35%	0.00%	1	ba	well congratulations on that
97.35%	0.00%	1	ba	that 'd be kind of fun
97.35%	0.00%	1	bh	is is it
97.35%	0.00%	1	ba	that sounds pretty good
97.36%	0.00%	1	ba	that 's fantastic exercise
97.36%	0.00%	1	ba	wow that 's that 's that 's a nice size carp
97.36%	0.00%	1	bh	you know what are we doing for them
97.36%	0.00%	1	bf	we passed them on to us
97.36%	0.00%	1	bf	okay you say you 're going to buy a new car
97.37%	0.00%	1	bf	they are tough
97.37%	0.00%	1	ba	and uh it it 's it 's really neat uh
97.37%	0.00%	1	b	actually yeah
97.37%	0.00%	1	ba	and that 's really sad
97.37%	0.00%	1	ba	oh it sounds like it
97.38%	0.00%	1	bf	it sounds like you 'd have lots of shading
97.38%	0.00%	1	bf	oh so you had to go around with paint all over you
97.38%	0.00%	1	bf	so obviously though do you think they 're going to do anything in the playoffs to make it to the super bowl this year
97.38%	0.00%	1	b^m	two living areas
97.39%	0.00%	1	ba	probably not
97.39%	0.00%	1	b^m	but uh okay
97.39%	0.00%	1	br	are you saying to use like um for chocolate like unsweetened
97.39%	0.00%	1	ba	that 's fascinating
97.39%	0.00%	1	ba	there 's a good point
97.40%	0.00%	1	bf	that 's where i need to go
97.40%	0.00%	1	bf	uh then you do n't draw a line between public property and uh uh uh what a public uh symbol
97.40%	0.00%	1	b^m	birmingham
97.40%	0.00%	1	ba	huh
97.40%	0.00%	1	bd	oh it 's okay
97.41%	0.00%	1	bf	crops up every so often
97.41%	0.00%	1	bf	so he would n't have gone to something like where we 're at they 'd in austin texas university of texas
97.41%	0.00%	1	bd	that happens
97.41%	0.00%	1	ba	that is wild
97.41%	0.00%	1	ba	i imagine it is
97.42%	0.00%	1	bh	you know can you imagine
97.42%	0.00%	1	b^m	arlington
97.42%	0.00%	1	bf	no
97.42%	0.00%	1	ba	that is a very good point
97.43%	0.00%	1	bf	a a a team effort
97.43%	0.00%	1	ba	gee-
97.43%	0.00%	1	ba	those are beautiful
97.43%	0.00%	1	b^m	about eight years
97.43%	0.00%	1	br	it is what you look for
97.44%	0.00%	1	b^m	free
97.44%	0.00%	1	b	i really
97.44%	0.00%	1	ba	and i know where you 're coming from
97.44%	0.00%	1	bf	so that 's perfect
97.44%	0.00%	1	ba	oh that 's awful
97.45%	0.00%	1	bf	it would probably be a lot more work and probably not turn out as good
97.45%	0.00%	1	bf	and you move a little closer
97.45%	0.00%	1	ba	that 's pretty wild
97.45%	0.00%	1	bf	a little more flexibility
97.45%	0.00%	1	b^m	uh tex-mex uh
97.46%	0.00%	1	b^m	four
97.46%	0.00%	1	bf	so it 's gone down
97.46%	0.00%	1	b^m	uh mission
97.46%	0.00%	1	ba	um um that 's sad
97.47%	0.00%	1	b	still at it
97.47%	0.00%	1	bf	when they 're young
97.47%	0.00%	1	bf	sweating to the oldies
97.47%	0.00%	1	bk	oh there you go okay
97.47%	0.00%	1	bf	oh well that 's quite a change from california to utah
97.48%	0.00%	1	bf	so the convenience
97.48%	0.00%	1	ba	i would imagine it is
97.48%	0.00%	1	ba	uh very good
97.48%	0.00%	1	ba	oh that 's true
97.48%	0.00%	1	ba	oh that 's amazing
97.49%	0.00%	1	ba	that 's in-
97.49%	0.00%	1	b	yes mumblex
97.49%	0.00%	1	bf	all allocated out
97.49%	0.00%	1	ba	wonderful place
97.49%	0.00%	1	ba	oh they do
97.50%	0.00%	1	bf	that you had ever been
97.50%	0.00%	1	b	um um um um
97.50%	0.00%	1	ba	oh yeah oh
97.50%	0.00%	1	b^m	shoeless joe
97.51%	0.00%	1	bf	a student
97.51%	0.00%	1	ba	groovy
97.51%	0.00%	1	bh	huh rough type huh
97.51%	0.00%	1	bf	oh instead of hopping and jumping you just step
97.51%	0.00%	1	bf	cooking chocolate
97.52%	0.00%	1	bf	just change our priorities
97.52%	0.00%	1	bf	so it 's not something you 'd drive
97.52%	0.00%	1	bf	quicker
97.52%	0.00%	1	ba	that 's that 's something
97.52%	0.00%	1	bf	so it sounds like you uh you think that that we 'd be able to save some money by uh
97.53%	0.00%	1	ba	wow that 's good
97.53%	0.00%	1	ba	that 's that 's an interesting point of view
97.53%	0.00%	1	br	he 's got what
97.53%	0.00%	1	b	um right
97.53%	0.00%	1	bk	oh i know exactly where that is
97.54%	0.00%	1	bf	that uh the what they call the latchkey children
97.54%	0.00%	1	ba	that 's the way it goes i guess
97.54%	0.00%	1	ba	oh boy that 's great
97.54%	0.00%	1	b	under bricks or under wood
97.55%	0.00%	1	ba	sounds too good
97.55%	0.00%	1	bf	so it does n't get uh uh the credit uh
97.55%	0.00%	1	ba	oh okay
97.55%	0.00%	1	bf	you did n't want to cook
97.55%	0.00%	1	ba	that 's the problem
97.56%	0.00%	1	bf	the mountains
97.56%	0.00%	1	ba	uh
97.56%	0.00%	1	ba	ugh neat
97.56%	0.00%	1	bf	and his office hours could i mean he could have like a nine to eleven in the morning office hours and have forty-two people waiting to talk to him
97.56%	0.00%	1	br	saginaw
97.57%	0.00%	1	bf	pardon
97.57%	0.00%	1	bf	three hours difference
97.57%	0.00%	1	ba	that 's good to be in that kind of shape
97.57%	0.00%	1	bf	delivery room and everything
97.57%	0.00%	1	ba	i see what you 're saying
97.58%	0.00%	1	bf	so so the real the real current news and the hard news
97.58%	0.00%	1	bk	oh i see uh
97.58%	0.00%	1	bf	it 's here now
97.58%	0.00%	1	ba	i see uh
97.59%	0.00%	1	bd	oh you 're not
97.59%	0.00%	1	bh	he 's one of the two huh
97.59%	0.00%	1	b^m	s i n
97.59%	0.00%	1	ba	well that 's too bad
97.59%	0.00%	1	bf	oh you 're
97.60%	0.00%	1	bf	well you stay up with it pretty well then
97.60%	0.00%	1	ba	huh that 's really funny
97.60%	0.00%	1	b	striper
97.60%	0.00%	1	bf	sometimes it might be the candlelight
97.60%	0.00%	1	bf	the spice
97.61%	0.00%	1	ba	you learn
97.61%	0.00%	1	ba	oh my goodne-
97.61%	0.00%	1	bk	oh dursban two
97.61%	0.00%	1	bk	b y u
97.61%	0.00%	1	ba	um gosh
97.62%	0.00%	1	bf	instead of call waiting or call anything else
97.62%	0.00%	1	ba	well that 's a good way to to make a little extra money
97.62%	0.00%	1	bf	they 've picked up the hab-
97.62%	0.00%	1	bf	common problem
97.63%	0.00%	1	bf	nothing like that
97.63%	0.00%	1	ba	heavens
97.63%	0.00%	1	ba	it 's real pretty
97.63%	0.00%	1	ba	hey oh
97.63%	0.00%	1	bf	isometrics stuff like that
97.64%	0.00%	1	ba	is n't that the truth
97.64%	0.00%	1	bf	not so much still trying to translate old texts as just trying to translate modern versions into other languages
97.64%	0.00%	1	b	you know right
97.64%	0.00%	1	bf	oh and you just kind of took them over huh
97.64%	0.00%	1	ba	sounds like a good idea
97.65%	0.00%	1	b	it 's uh
97.65%	0.00%	1	ba	i can i can understand that
97.65%	0.00%	1	ba	mumblex so that 's helpful
97.65%	0.00%	1	bf	as tight as you can
97.65%	0.00%	1	bf	what is what
97.66%	0.00%	1	bf	a whole lot
97.66%	0.00%	1	ba	oh that 's that 's neat
97.66%	0.00%	1	ba	that 's great you know
97.66%	0.00%	1	bh	oh is that is that right
97.67%	0.00%	1	bf	did n't expect that would happen
97.67%	0.00%	1	bf	if you filed that letter with them then they will kind of
97.67%	0.00%	1	bf	have a relative struct a structured
97.67%	0.00%	1	ba	what a nightmare
97.67%	0.00%	1	b^m	ten years
97.68%	0.00%	1	b^m	i do n't need to
97.68%	0.00%	1	bf	you get it from people then
97.68%	0.00%	1	bf	you would
97.68%	0.00%	1	b^m	ferraro
97.68%	0.00%	1	bf	all done in advance
97.69%	0.00%	1	b^m	eat it all
97.69%	0.00%	1	bf	you mumblex you would not be pulling it out of your account all of the time
97.69%	0.00%	1	bf	so you you were out of s- you went to school for awhile and quit then went back
97.69%	0.00%	1	bf	in in texas
97.69%	0.00%	1	bf	you mean not even your your your car insurance
97.70%	0.00%	1	ba	to bad huh
97.70%	0.00%	1	b	uh i
97.70%	0.00%	1	ba	give me a break
97.70%	0.00%	1	b^m	alzheimer
97.71%	0.00%	1	ba	i mean at least they 're trying
97.71%	0.00%	1	ba	such a deal
97.71%	0.00%	1	ba	well do n't even talk to me
97.71%	0.00%	1	bk	yes
97.71%	0.00%	1	bf	so you said you 're from mississippi
97.72%	0.00%	1	bf	that 's kind of the way they do it
97.72%	0.00%	1	bh	that 's what you do uh
97.72%	0.00%	1	b	huh prime air
97.72%	0.00%	1	bf	a little negative reinforcement there while you 're going
97.72%	0.00%	1	bf	pushing keys certain times and
97.73%	0.00%	1	bf	they 're out doing stuff by that time
97.73%	0.00%	1	bf	that 's a lot of money
97.73%	0.00%	1	b^m	the best you can yeah
97.73%	0.00%	1	bh	is n't that strange
97.74%	0.00%	1	bf	go hide from them
97.74%	0.00%	1	ba	oh mumblex really pretty
97.74%	0.00%	1	bf	watch where it 's going
97.74%	0.00%	1	bf	it was fun
97.74%	0.00%	1	b	yes oh
97.75%	0.00%	1	b^m	you think that 's great
97.75%	0.00%	1	br	hm
97.75%	0.00%	1	bf	and just to save you trips to and from
97.75%	0.00%	1	b	deer valley
97.75%	0.00%	1	b^m	oldsmobiles
97.76%	0.00%	1	ba	oh i bet it is too
97.76%	0.00%	1	b^m	both
97.76%	0.00%	1	b^m	plano
97.76%	0.00%	1	ba	i know uh
97.76%	0.00%	1	br	you 're now in what
97.77%	0.00%	1	bf	and and be paroled and
97.77%	0.00%	1	ba	well now
97.77%	0.00%	1	bf	you really are n't isolated because it 's
97.77%	0.00%	1	ba	it 's a good experience
97.78%	0.00%	1	bf	you have to concentrate on it it seems
97.78%	0.00%	1	bd	i just left it
97.78%	0.00%	1	bf	if if it 's on the credit card it does n't seem like it 's money out of your pocket
97.78%	0.00%	1	b^m	dayton ohio
97.78%	0.00%	1	ba	boy he is
97.79%	0.00%	1	b	do n't like to cook huh
97.79%	0.00%	1	ba	sure is neat
97.79%	0.00%	1	b^m	jewish
97.79%	0.00%	1	b^m	finance
97.79%	0.00%	1	bf	and so you think that it 's just gone
97.80%	0.00%	1	b	ye- uh-huh
97.80%	0.00%	1	ba	i unders understand though
97.80%	0.00%	1	b^m	save that for another day
97.80%	0.00%	1	bf	the owner 's responsibility
97.80%	0.00%	1	ba	oh well that is fortunate
97.81%	0.00%	1	b	um um oh yeah
97.81%	0.00%	1	b	surely
97.81%	0.00%	1	ba	that 's interesti
97.81%	0.00%	1	ba	i hear that one
97.82%	0.00%	1	bf	so you all are into
97.82%	0.00%	1	ba	that should be nice
97.82%	0.00%	1	b^m	then you 'll never leave
97.82%	0.00%	1	ba	oh you bet
97.82%	0.00%	1	br	what do you think
97.83%	0.00%	1	b	oh wow
97.83%	0.00%	1	bf	catching tree bass
97.83%	0.00%	1	ba	awesome
97.83%	0.00%	1	bd	oh well that 's okay um
97.83%	0.00%	1	bf	sort of easy listening because you like country
97.84%	0.00%	1	bf	compile more statistics
97.84%	0.00%	1	ba	so that 's that 's kind of bad news
97.84%	0.00%	1	bf	oh so it was just kind of a zoo
97.84%	0.00%	1	bf	it made you think
97.84%	0.00%	1	b	out of each child
97.85%	0.00%	1	ba	i know if it 's related
97.85%	0.00%	1	b^m	mazda
97.85%	0.00%	1	br	get
97.85%	0.00%	1	bf	you you were talking about uh uh
97.86%	0.00%	1	bh	ooh really
97.86%	0.00%	1	bh	he was in that
97.86%	0.00%	1	bh	you 're kidding me
97.86%	0.00%	1	ba	oh wow uh
97.86%	0.00%	1	bf	and cover his ears
97.87%	0.00%	1	ba	well that 's correct
97.87%	0.00%	1	b	oh but
97.87%	0.00%	1	ba	goo good question
97.87%	0.00%	1	ba	sounds interesting uh-huh
97.87%	0.00%	1	b^m	at least
97.88%	0.00%	1	bf	had no had no teeth
97.88%	0.00%	1	b^m	oscar
97.88%	0.00%	1	ba	that 's psychedelic
97.88%	0.00%	1	ba	that 's strange
97.88%	0.00%	1	bf	i mean you get a thousand dollars worth of tools
97.89%	0.00%	1	b	the twine
97.89%	0.00%	1	ba	oh go-
97.89%	0.00%	1	bf	eating right and no cholesterol and all that
97.89%	0.00%	1	bf	even though you uh physically you agree with me
97.90%	0.00%	1	bf	see the inside of them or whatever
97.90%	0.00%	1	ba	oh i think so
97.90%	0.00%	1	bf	so five bedrooms and two living two family t-
97.90%	0.00%	1	ba	that 's difficult
97.90%	0.00%	1	bf	what you thought huh
97.91%	0.00%	1	b^m	not originally
97.91%	0.00%	1	bh	oh are they
97.91%	0.00%	1	ba	but uh boy
97.91%	0.00%	1	bf	you do n't work for texas instruments
97.91%	0.00%	1	bf	to be caught in the mumblex
97.92%	0.00%	1	ba	it 's not good
97.92%	0.00%	1	ba	you ca n't do that
97.92%	0.00%	1	ba	oh that 's fantastic
97.92%	0.00%	1	b	mumblex
97.92%	0.00%	1	ba	that 's uh it 's interesting
97.93%	0.00%	1	ba	oh incredible
97.93%	0.00%	1	b	anybody
97.93%	0.00%	1	bh	oh is that ri-
97.93%	0.00%	1	b^m	two and one
97.94%	0.00%	1	ba	oh do you well great
97.94%	0.00%	1	bf	so the annual fee
97.94%	0.00%	1	ba	wow that 's interesting
97.94%	0.00%	1	bf	where the most dollar where where you know it cuts back the most
97.94%	0.00%	1	b^m	always worked
97.95%	0.00%	1	bk	oh sh-
97.95%	0.00%	1	ba	i 'm sure that 's true
97.95%	0.00%	1	bf	in other words if you get if you do something the first time that 's not real bad you know
97.95%	0.00%	1	bf	it turned out to be uh uh an invitation
97.95%	0.00%	1	ba	know how that goes
97.96%	0.00%	1	b^m	secret storm
97.96%	0.00%	1	b	oh so mumblex
97.96%	0.00%	1	bf	fluid resistance
97.96%	0.00%	1	br	how do i feel what
97.96%	0.00%	1	b	well uh okay
97.97%	0.00%	1	b^m	maui
97.97%	0.00%	1	ba	that 's that 's true
97.97%	0.00%	1	ba	well that would be a help
97.97%	0.00%	1	b^m	mysteries
97.98%	0.00%	1	bf	you know right away what you want
97.98%	0.00%	1	ba	uh you 're sure have a nice town
97.98%	0.00%	1	bf	school buses and the
97.98%	0.00%	1	b	french yeah
97.98%	0.00%	1	b	this is just their aluminum cans
97.99%	0.00%	1	ba	oh that will be good
97.99%	0.00%	1	bf	so you 're all back to the safety catches and the whole nine yards or either watching them every minute
97.99%	0.00%	1	bf	different kinds of voices and things
97.99%	0.00%	1	bf	so that was it
97.99%	0.00%	1	b^m	do n't retire
98.00%	0.00%	1	br	uh pardon
98.00%	0.00%	1	ba	really bad
98.00%	0.00%	1	b	that 's okay
98.00%	0.00%	1	bd	it 's no big deal
98.00%	0.00%	1	ba	sounds like it would have been pretty
98.01%	0.00%	1	bf	it 's way too late
98.01%	0.00%	1	ba	well that sounds like fun
98.01%	0.00%	1	ba	is n't that neat
98.01%	0.00%	1	ba	oh that 's quite reasonable
98.02%	0.00%	1	ba	oh oklahoma of all places
98.02%	0.00%	1	ba	wow uh-huh
98.02%	0.00%	1	ba	that looks good too
98.02%	0.00%	1	ba	well that 's it you know
98.02%	0.00%	1	ba	must be nice
98.03%	0.00%	1	bf	joe pros
98.03%	0.00%	1	bf	and the parent really needs to be there for the child
98.03%	0.00%	1	bh	that 's it
98.03%	0.00%	1	bf	so you know about some of these things
98.03%	0.00%	1	ba	that 's that would be good
98.04%	0.00%	1	bf	that 's where it gets its name obviously huh
98.04%	0.00%	1	bf	oh of everything
98.04%	0.00%	1	bf	that 's all mexico i think
98.04%	0.00%	1	ba	oh that sounds wonderful
98.04%	0.00%	1	ba	boy i bet
98.05%	0.00%	1	ba	i bet that 's a interesting job
98.05%	0.00%	1	b^m	weather-wise
98.05%	0.00%	1	ba	oh they do too
98.05%	0.00%	1	b^m	oh is n't is n't
98.06%	0.00%	1	ba	sure did
98.06%	0.00%	1	b^m	salad bar
98.06%	0.00%	1	bf	and that softens it up huh
98.06%	0.00%	1	ba	imagine
98.06%	0.00%	1	b^m	portland
98.07%	0.00%	1	b	uh- yeah
98.07%	0.00%	1	b^m	five minutes oh okay
98.07%	0.00%	1	b^m	one rotten cat
98.07%	0.00%	1	b	but uh no
98.07%	0.00%	1	ba	and ugh
98.08%	0.00%	1	bf	it 's easy
98.08%	0.00%	1	bf	and so it 's like they charge you for the deposit
98.08%	0.00%	1	bf	and then she wo n't have to worry about it
98.08%	0.00%	1	bf	whatever you like huh
98.08%	0.00%	1	ba	oh i 'm sure it must be
98.09%	0.00%	1	b^m	ok
98.09%	0.00%	1	bf	the pro
98.09%	0.00%	1	bf	kind of a coarse kind of test
98.09%	0.00%	1	b	well really
98.10%	0.00%	1	ba	oh i see uh-huh
98.10%	0.00%	1	ba	that would be wonderful
98.10%	0.00%	1	ba	which is ridiculous
98.10%	0.00%	1	b^m	twelve and sixteen
98.10%	0.00%	1	bf	so you got to give them either more time in the system or a different process that will hopefully work better
98.11%	0.00%	1	bf	like a liberal type of bias
98.11%	0.00%	1	ba	that 's fine
98.11%	0.00%	1	b	sesame seeds and bread crumbs
98.11%	0.00%	1	ba	oh that sounds so easy what i did
98.11%	0.00%	1	ba	very seriously
98.12%	0.00%	1	b^m	you have n't been to too many places
98.12%	0.00%	1	bf	you just live there now
98.12%	0.00%	1	bf	so you like a a variety
98.12%	0.00%	1	bf	you say yes
98.12%	0.00%	1	ba	well you know that 's that 's fine
98.13%	0.00%	1	bf	that that got pretty competitive
98.13%	0.00%	1	ba	i mean well uh good luck to you
98.13%	0.00%	1	ba	oh wow that 's impressive
98.13%	0.00%	1	br	hour and ten minutes
98.14%	0.00%	1	ba	that 's pretty decent
98.14%	0.00%	1	b^m	the eagles
98.14%	0.00%	1	b^m	two kids
98.14%	0.00%	1	ba	that 's still fairly new
98.14%	0.00%	1	ba	that 's super
98.15%	0.00%	1	bh	do you really not
98.15%	0.00%	1	bd	not always
98.15%	0.00%	1	b	mumblex oh uh-huh
98.15%	0.00%	1	ba	must have been terrible
98.15%	0.00%	1	ba	um oh god
98.16%	0.00%	1	bf	lab fees and all
98.16%	0.00%	1	bf	so it 's getting close
98.16%	0.00%	1	ba	oh right
98.16%	0.00%	1	ba	that 's pretty to me that 's pretty rare
98.16%	0.00%	1	bf	i mean you figure there 's got to be more to life than sitting here playing with this child
98.17%	0.00%	1	ba	um fun
98.17%	0.00%	1	bk	oh mumblex
98.17%	0.00%	1	bf	and cans laying
98.17%	0.00%	1	bf	come to my menagerie
98.18%	0.00%	1	ba	uh i hope so
98.18%	0.00%	1	bf	i do n't a better word to say than like asleep or in a coma
98.18%	0.00%	1	b^m	fernando
98.18%	0.00%	1	ba	that 's real real good
98.18%	0.00%	1	b	that is right
98.19%	0.00%	1	ba	no problems
98.19%	0.00%	1	bf	so you got some lakes around you can do that on
98.19%	0.00%	1	ba	well it sounds good you know
98.19%	0.00%	1	ba	that 's so awful
98.19%	0.00%	1	bf	everybody got excited
98.20%	0.00%	1	b	yellow peppers huh
98.20%	0.00%	1	bf	changing people 's expectations
98.20%	0.00%	1	b^m	silverado
98.20%	0.00%	1	ba	well that is a good idea
98.20%	0.00%	1	bf	it it has to be kind of a discreet transaction
98.21%	0.00%	1	ba	that 's a good a good statement
98.21%	0.00%	1	ba	i understand what you say
98.21%	0.00%	1	ba	and a lot of times you ca n't
98.21%	0.00%	1	b	ye- ye- yeah
98.22%	0.00%	1	bf	and start right there
98.22%	0.00%	1	ba	but my goodness
98.22%	0.00%	1	b^m	lexus
98.22%	0.00%	1	b	oh yea-
98.22%	0.00%	1	ba	oh that sounds really neat
98.23%	0.00%	1	bf	so you 're a serious camper
98.23%	0.00%	1	bf	rather than
98.23%	0.00%	1	b^m	local you mean
98.23%	0.00%	1	bf	the heavy metal
98.23%	0.00%	1	br	beg pardon
98.24%	0.00%	1	ba	goodness sake
98.24%	0.00%	1	b^m	oh a sheltie
98.24%	0.00%	1	b^m	the times are different yeah
98.24%	0.00%	1	ba	it is i imagine
98.24%	0.00%	1	ba	that 's sweet
98.25%	0.00%	1	bf	getting in
98.25%	0.00%	1	ba	well that sounds adventuresome
98.25%	0.00%	1	ba	oh my god the poor woman
98.25%	0.00%	1	ba	san antonio
98.26%	0.00%	1	b^m	six seven and eight
98.26%	0.00%	1	ba	um that sounds beautiful
98.26%	0.00%	1	b^m	oh improve upon that
98.26%	0.00%	1	bf	about uh private citizens selling a weapons
98.26%	0.00%	1	b^m	that 's that 's social change
98.27%	0.00%	1	bf	fifteen years
98.27%	0.00%	1	bf	surprising
98.27%	0.00%	1	ba	well that sounds pretty
98.27%	0.00%	1	bf	that would be premeditated
98.27%	0.00%	1	bf	as opposed to what we were twenty years ago
98.28%	0.00%	1	b^m	uh ha
98.28%	0.00%	1	ba	well that will be great
98.28%	0.00%	1	ba	uh you 're very fortunate
98.28%	0.00%	1	br	that 's what
98.28%	0.00%	1	bk	you did
98.29%	0.00%	1	ba	oh oh yeah
98.29%	0.00%	1	bf	and uh then like you said a lot of
98.29%	0.00%	1	ba	well that 's that 's all right
98.29%	0.00%	1	ba	oh well then it wo n't be too bad
98.30%	0.00%	1	b^m	buccaneers
98.30%	0.00%	1	b	oh really oh
98.30%	0.00%	1	ba	that 's an awful lot
98.30%	0.00%	1	ba	jesus
98.30%	0.00%	1	bf	that makes it very frustrating
98.31%	0.00%	1	bh	oh it was n't
98.31%	0.00%	1	bf	it would
98.31%	0.00%	1	bf	clyde the iguana
98.31%	0.00%	1	bf	you do n't
98.31%	0.00%	1	b	but yes
98.32%	0.00%	1	ba	i imagine i imagine
98.32%	0.00%	1	b^m	johnny elway
98.32%	0.00%	1	bf	politicians pushing it or uh
98.32%	0.00%	1	ba	that 's real rough
98.32%	0.00%	1	b	um -kay
98.33%	0.00%	1	bf	so you 're an american
98.33%	0.00%	1	b	right um
98.33%	0.00%	1	b	already
98.33%	0.00%	1	ba	well the floor was uneven
98.34%	0.00%	1	b^m	oh hybrid teas
98.34%	0.00%	1	bf	have a lawyer background
98.34%	0.00%	1	ba	this is great
98.34%	0.00%	1	b^m	blacksburg
98.34%	0.00%	1	ba	it 's funny
98.35%	0.00%	1	bf	well that sounds like you must feel really good about it
98.35%	0.00%	1	b^m	in richardson
98.35%	0.00%	1	br	toronto
98.35%	0.00%	1	ba	i 'll be
98.35%	0.00%	1	ba	oh what a mess
98.36%	0.00%	1	ba	oh i understand what you 're talking about
98.36%	0.00%	1	bf	that 's like unconditional affection
98.36%	0.00%	1	b	oops
98.36%	0.00%	1	ba	you 're right
98.37%	0.00%	1	ba	oh you bet it 's ju-
98.37%	0.00%	1	bh	it does n't
98.37%	0.00%	1	br	say what
98.37%	0.00%	1	ba	the kind you have sounds very interesting though
98.37%	0.00%	1	bf	you 've just retired
98.38%	0.00%	1	ba	that that does sound neat
98.38%	0.00%	1	ba	how weird
98.38%	0.00%	1	bf	that 's one of the exercise now
98.38%	0.00%	1	ba	oh that 's really good
98.38%	0.00%	1	b	oh uh yeah
98.39%	0.00%	1	bk	minnesota
98.39%	0.00%	1	b^m	rome new york
98.39%	0.00%	1	bk	oh are you
98.39%	0.00%	1	bf	some of them disagree
98.39%	0.00%	1	b^m	the chinese type
98.40%	0.00%	1	ba	oh i 'm telling you
98.40%	0.00%	1	bf	oh like everything else
98.40%	0.00%	1	bh	do you think
98.40%	0.00%	1	ba	that 's pretty that 's a good size deck
98.41%	0.00%	1	ba	do n't blame you
98.41%	0.00%	1	bk	oh you have children
98.41%	0.00%	1	bk	oh i
98.41%	0.00%	1	ba	good point oh
98.41%	0.00%	1	b^m	latin america
98.42%	0.00%	1	bf	oh so they did n't want to wind up being a juror ever
98.42%	0.00%	1	bh	was she
98.42%	0.00%	1	ba	oh it 's unbelievable how much you go through
98.42%	0.00%	1	bf	they 've not really given it attention either
98.42%	0.00%	1	b	um i see
98.43%	0.00%	1	b^m	um
98.43%	0.00%	1	ba	that 's really great
98.43%	0.00%	1	ba	oh i heard about that
98.43%	0.00%	1	br	five dollars a call
98.43%	0.00%	1	bf	but it does sound like it 's definitely growing
98.44%	0.00%	1	bf	and your work schedule is
98.44%	0.00%	1	ba	well that is not much
98.44%	0.00%	1	b	huh oh well
98.44%	0.00%	1	b^m	oh in the oil business
98.45%	0.00%	1	b^m	oh they do n't take vegetable cans
98.45%	0.00%	1	ba	it 's incredible
98.45%	0.00%	1	bf	do n't go through the whole nine yards
98.45%	0.00%	1	ba	imagine that
98.45%	0.00%	1	br	unsweetened
98.46%	0.00%	1	ba	what a treat
98.46%	0.00%	1	b^m	a mutt
98.46%	0.00%	1	ba	um boy
98.46%	0.00%	1	ba	good grief these are well fed cows uh
98.46%	0.00%	1	b^m	it 's not the same
98.47%	0.00%	1	ba	i i really bet it was
98.47%	0.00%	1	b^m	north african
98.47%	0.00%	1	bf	so you worked you learned how to solve your problems on your own
98.47%	0.00%	1	ba	it sounds awful
98.47%	0.00%	1	br	oh when did it happen
98.48%	0.00%	1	b^m	agree
98.48%	0.00%	1	b^m	mexican
98.48%	0.00%	1	bf	just your qualifications
98.48%	0.00%	1	b^m	home school
98.49%	0.00%	1	ba	that 'll be good
98.49%	0.00%	1	b^m	not quite huh
98.49%	0.00%	1	bk	uh uh-huh
98.49%	0.00%	1	ba	but but that 's a good idea
98.49%	0.00%	1	b	really oh
98.50%	0.00%	1	ba	that 's not bad either
98.50%	0.00%	1	ba	well then
98.50%	0.00%	1	ba	immediately
98.50%	0.00%	1	b	infant
98.50%	0.00%	1	bf	and given that the s and ls have had disasters then those account holders are are their money is still being protected
98.51%	0.00%	1	br	beg your pardon
98.51%	0.00%	1	bf	they figure what a heyday huh
98.51%	0.00%	1	b^m	hopkins
98.51%	0.00%	1	b^m	joey
98.51%	0.00%	1	bf	just life in general
98.52%	0.00%	1	b^m	free ice cream
98.52%	0.00%	1	bf	and they have a whole list of addresses and list of phone numbers
98.52%	0.00%	1	ba	i really do
98.52%	0.00%	1	b^m	with children
98.53%	0.00%	1	bf	it 's nearly
98.53%	0.00%	1	ba	oh that 's kind of neat
98.53%	0.00%	1	ba	that that sounds like a lot of fun
98.53%	0.00%	1	bf	he thinks more about them then
98.53%	0.00%	1	bf	oh the the mexican coast
98.54%	0.00%	1	bf	notoriety
98.54%	0.00%	1	b	oh boy
98.54%	0.00%	1	b	i mean
98.54%	0.00%	1	ba	that is kind of wild
98.54%	0.00%	1	b^m	well i think we 're about done
